min_len: 36; max_len: 36; avg_len: 36.00; 39 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%low	%high
ALL	720000	30.6	19.5	19.5	30.3	0.1	37.8	22.6	1.8	98.2
1	20000	32.2	20.5	17.2	29.9	0.1	38.4	27.5	0.8	99.2
2	20000	32.8	17.8	19.8	29.3	0.3	38.4	25.0	1.2	98.8
3	20000	31.1	19.7	19.5	29.6	0.1	38.4	27.1	0.9	99.1
4	20000	29.9	19.5	20.4	30.0	0.1	38.4	26.8	1.0	99.0
5	20000	30.9	18.9	19.7	30.4	0.1	38.4	26.8	1.0	99.0
6	20000	30.7	19.8	19.9	29.5	0.1	38.4	26.5	1.0	99.0
7	20000	30.2	19.0	20.2	30.5	0.1	38.2	26.2	1.2	98.8
8	20000	30.5	19.3	19.1	30.9	0.1	38.2	26.2	1.1	98.9
9	20000	29.8	19.5	19.5	31.1	0.1	38.3	26.4	1.1	99.0
10	20000	30.8	19.6	19.2	30.3	0.1	38.2	25.9	1.1	98.9
11	20000	29.9	19.3	19.8	30.9	0.1	38.2	25.3	1.3	98.7
12	20000	30.5	19.7	19.3	30.4	0.1	38.1	25.3	1.4	98.6
13	20000	31.0	19.0	19.3	30.6	0.1	38.2	25.4	1.2	98.8
14	20000	30.3	19.5	19.2	31.0	0.1	38.2	25.5	1.1	98.9
15	20000	30.6	19.6	18.7	31.1	0.1	38.1	25.1	1.2	98.8
16	20000	30.3	19.7	19.2	30.8	0.1	38.2	24.8	1.1	98.9
17	20000	30.6	19.0	19.4	30.9	0.1	38.1	24.7	1.3	98.7
18	20000	30.5	19.6	19.7	30.1	0.1	38.1	24.6	1.3	98.7
19	20000	30.5	18.8	19.9	30.8	0.1	37.9	24.3	1.4	98.6
20	20000	30.4	19.2	19.6	30.8	0.1	37.9	24.0	1.6	98.4
21	20000	30.6	19.6	19.7	30.1	0.1	38.0	23.4	1.5	98.5
22	20000	30.3	19.6	19.4	30.6	0.1	37.8	23.2	1.8	98.2
23	20000	30.4	19.2	20.1	30.2	0.1	37.7	22.9	1.9	98.1
24	20000	29.9	19.3	20.0	30.7	0.1	37.6	22.7	1.9	98.1
25	20000	31.0	19.6	19.6	29.8	0.1	37.7	22.4	1.8	98.2
26	20000	30.1	19.4	19.7	30.7	0.1	37.6	21.7	2.0	98.0
27	20000	30.3	19.8	19.8	30.1	0.1	37.4	21.5	2.3	97.7
28	20000	30.2	19.5	19.8	30.4	0.1	37.4	21.4	2.2	97.8
29	20000	31.3	19.2	19.8	29.7	0.1	37.2	21.0	2.5	97.5
30	20000	30.2	20.2	19.2	30.4	0.1	37.3	20.6	2.4	97.6
31	20000	30.3	19.7	19.6	30.2	0.1	37.1	19.7	2.9	97.1
32	20000	30.8	19.5	19.7	29.9	0.1	36.9	19.4	3.0	97.0
33	20000	30.9	19.9	19.5	29.7	0.1	36.9	19.2	3.2	96.8
34	20000	30.1	19.6	19.7	30.5	0.1	36.5	18.8	3.7	96.3
35	20000	30.0	19.8	19.9	30.2	0.1	36.7	18.5	3.5	96.5
36	20000	30.1	20.1	19.7	30.0	0.1	36.3	17.8	4.2	95.8
